timestamp,P_keystroke,P_face,P_total,is_frustrated,intervention_triggered
2026-03-24 18:09:42,0.0000,0.0000,0.0000,0,0
2026-03-24 18:09:43,0.0000,0.0000,0.0000,0,0
2026-03-24 18:09:44,0.0000,0.0000,0.0000,0,0
2026-03-24 18:09:45,0.0000,0.0000,0.0000,0,0
2026-03-24 18:09:46,0.0000,0.0000,0.0000,0,0
2026-03-24 18:09:47,0.0000,0.2906,0.1017,0,0
2026-03-24 18:09:48,0.0000,0.2613,0.0915,0,0
2026-03-24 18:09:49,0.0000,0.2613,0.0915,0,0
2026-03-24 18:09:50,0.0000,0.2748,0.0962,0,0
2026-03-24 18:09:51,0.0000,0.2729,0.0955,0,0
2026-03-24 18:09:52,0.0000,0.2358,0.0825,0,0
2026-03-24 18:09:53,0.0000,0.2393,0.0838,0,0
2026-03-24 18:09:54,0.0000,0.2314,0.0810,0,0
2026-03-24 18:09:55,0.0000,0.2269,0.0794,0,0
2026-03-24 18:09:56,0.0000,0.2026,0.0709,0,0
2026-03-24 18:09:57,0.0000,0.1983,0.0694,0,0
2026-03-24 18:09:58,0.0000,0.1983,0.0694,0,0
2026-03-24 18:09:59,0.0000,0.2392,0.0837,0,0
2026-03-24 18:10:00,0.0000,0.2392,0.0837,0,0
2026-03-24 18:10:01,0.0000,0.2185,0.0765,0,0
2026-03-24 18:10:02,0.0000,0.2158,0.0755,0,0
2026-03-24 18:10:03,0.0000,0.2225,0.0779,0,0
2026-03-24 18:10:04,0.0000,0.2321,0.0812,0,0
2026-03-24 18:10:05,0.0000,0.2280,0.0798,0,0
2026-03-24 18:10:06,0.0000,0.2105,0.0737,0,0
2026-03-24 18:10:07,0.0000,0.2054,0.0719,0,0
2026-03-24 18:10:08,0.0000,0.2344,0.0821,0,0
2026-03-24 18:10:09,0.0000,0.2753,0.0964,0,0
2026-03-24 18:10:10,0.0000,0.2443,0.0855,0,0
2026-03-24 18:10:11,0.0000,0.2550,0.0892,0,0
2026-03-24 18:10:12,0.0000,0.2492,0.0872,0,0
2026-03-24 18:10:13,0.0000,0.2480,0.0868,0,0
2026-03-24 18:10:14,0.0000,0.2575,0.0901,0,0
2026-03-24 18:10:15,0.0000,0.2439,0.0854,0,0
2026-03-24 18:10:16,0.0000,0.2170,0.0759,0,0
2026-03-24 18:10:17,0.0000,0.2792,0.0977,0,0
2026-03-24 18:10:18,0.0000,0.3096,0.1084,0,0
2026-03-24 18:10:19,0.0000,0.3104,0.1086,0,0
2026-03-24 18:10:20,0.0000,0.3276,0.1147,0,0
2026-03-24 18:10:21,0.0000,0.3319,0.1162,0,0
2026-03-24 18:10:22,0.0000,0.3295,0.1153,0,0
2026-03-24 18:10:23,0.0000,0.2957,0.1035,0,0
2026-03-24 18:10:24,0.0000,0.2334,0.0817,0,0
2026-03-24 18:10:25,0.0000,0.1645,0.0576,0,0
2026-03-24 18:10:26,0.0000,0.1363,0.0477,0,0
2026-03-24 18:10:27,0.0000,0.1347,0.0472,0,0
2026-03-24 18:10:28,0.0000,0.1173,0.0410,0,0
2026-03-24 18:10:29,0.0000,0.0816,0.0285,0,0
2026-03-24 18:10:30,0.0000,0.0838,0.0293,0,0
2026-03-24 18:10:31,0.0000,0.0865,0.0303,0,0
2026-03-24 18:10:32,0.0000,0.1017,0.0356,0,0
2026-03-24 18:10:33,0.0000,0.1086,0.0380,0,0
2026-03-24 18:10:34,0.0000,0.0991,0.0347,0,0
2026-03-24 18:10:35,0.0000,0.0921,0.0322,0,0
2026-03-24 18:10:36,0.0000,0.0880,0.0308,0,0
2026-03-24 18:10:37,0.0000,0.1121,0.0392,0,0
2026-03-24 18:10:38,0.0000,0.1632,0.0571,0,0
2026-03-24 18:10:39,0.0000,0.1731,0.0606,0,0
2026-03-24 18:10:40,0.0000,0.1946,0.0681,0,0
2026-03-24 18:10:41,0.0000,0.1817,0.0636,0,0
2026-03-24 18:10:42,0.0000,0.2017,0.0706,0,0
2026-03-24 18:10:43,0.0000,0.2309,0.0808,0,0
2026-03-24 18:10:44,0.0000,0.2203,0.0771,0,0
2026-03-24 18:10:45,0.0000,0.1856,0.0650,0,0
2026-03-24 18:10:46,0.0000,0.1886,0.0660,0,0
2026-03-24 18:10:47,0.0000,0.1886,0.0660,0,0
2026-03-24 18:10:48,0.0000,0.1918,0.0671,0,0
2026-03-24 18:10:49,0.0000,0.1953,0.0683,0,0
2026-03-24 18:10:50,0.0000,0.1796,0.0629,0,0
2026-03-24 18:10:51,0.0000,0.1796,0.0629,0,0
2026-03-24 18:10:52,0.0000,0.1946,0.0681,0,0
2026-03-24 18:10:53,0.0000,0.2183,0.0764,0,0
2026-03-24 18:10:54,0.0000,0.2312,0.0809,0,0
2026-03-24 18:10:55,0.0000,0.2558,0.0895,0,0
2026-03-24 18:10:56,0.0000,0.2974,0.1041,0,0
2026-03-24 18:10:57,0.0000,0.2966,0.1038,0,0
2026-03-24 18:10:58,0.0000,0.2890,0.1011,0,0
2026-03-24 18:10:59,0.0000,0.2687,0.0940,0,0
2026-03-24 18:11:00,0.0000,0.2484,0.0869,0,0
2026-03-24 18:11:01,0.0000,0.2316,0.0811,0,0
2026-03-24 18:11:02,0.0000,0.2235,0.0782,0,0
2026-03-24 18:11:03,0.0000,0.1641,0.0574,0,0
2026-03-24 18:11:04,0.0000,0.1979,0.0693,0,0
2026-03-24 18:11:05,0.0000,0.2130,0.0746,0,0
2026-03-24 18:11:06,0.0000,0.2159,0.0756,0,0
2026-03-24 18:11:07,0.0000,0.2193,0.0768,0,0
2026-03-24 18:11:08,0.0000,0.2276,0.0797,0,0
2026-03-24 18:11:09,0.0000,0.2016,0.0705,0,0
2026-03-24 18:11:10,0.0000,0.2469,0.0864,0,0
2026-03-24 18:11:11,0.0000,0.2581,0.0903,0,0
2026-03-24 18:11:12,0.0000,0.2454,0.0859,0,0
2026-03-24 18:11:13,0.0000,0.2571,0.0900,0,0
2026-03-24 18:11:14,0.0000,0.2708,0.0948,0,0
2026-03-24 18:11:15,0.0000,0.2709,0.0948,0,0
2026-03-24 18:11:16,0.0000,0.2952,0.1033,0,0
2026-03-24 18:11:17,0.0000,0.2554,0.0894,0,0
2026-03-24 18:11:18,0.0000,0.2125,0.0744,0,0
2026-03-24 18:11:19,0.0000,0.2008,0.0703,0,0
